Type,Origin,Nested,Category,label,as,BQ Field,value type,inject to SELECT,Inject to WHERE,GROUP BY,Default paramaters,Additional Parameters,Count,Distinct,SUM,AVG
Metric,Calculated,FALSE,General,Sessions,Sessions,NA,INT,"COUNT(DISTINCT CONCAT(user_pseudo_id, ""-"",(SELECT value.int_value FROM unnest(event_params) WHERE key=""ga_session_id"")))",,FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Dimension,Built-in,FALSE,Geo,City,City,geo.city,STRING,geo.city,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Continent,Continent,geo.continent,STRING,geo.continent,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Country,Country,geo.country,STRING,geo.country,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Metro,Metro,geo.metro,STRING,geo.metro,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Region,Region,geo.region,STRING,geo.region,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Geo,Sub-continent,Sub-Continent,geo.sub_continent,STRING,geo.sub_continent,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Advertising ID,Advertising_ID,device.advertising_id,STRING,device.advertising_id,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Browser,Browser,device.web_info.browser,STRING,device.web_info.browser,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Browser version,Browser_version,device.web_info.browser_version,STRING,device.web_info.browser_version,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Device category,Device_category,device.category,STRING,device.category,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Hostname,Hostname,device.web_info.hostname,STRING,device.web_info.hostname,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Language,Language,device.language,STRING,device.language,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Mobile brand name,Mobile_brand_name,device.mobile_brand_name,STRING,device.mobile_brand_name,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Mobile marketing name,Mobile_marketing_name,device.mobile_marketing_name,STRING,device.mobile_marketing_name,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Mobile model name,Mobile_model_name,device.mobile_model_name,STRING,device.mobile_model_name,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Mobile OS hardware model,Mobile_OS_hardware_model,device.mobile_os_hardware_model,STRING,device.mobile_os_hardware_model,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Operating system,Operating_system,device.operating_system,STRING,device.operating_system,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Operating system version,Operating_system_version,device.operating_system_version,STRING,device.operating_system_version,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Device,Vendor ID,Vendor_ID,device.vendor_id,STRING,device.vendor_id,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,App,App info Firebase app ID,App_info_Firebase_App_ID,app_info.firebase_app_id,STRING,app_info.firebase_app_id,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,App,App info ID,App_info_ID,app_info.id,STRING,app_info.id,NA,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE
Dimension,Built-in,FALSE,App,App info install source,App_info_install_source,app_info.install_source,STRING,app_info.install_source,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,App,app info version,app_info_version,app_info.version,STRING,app_info.version,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Campaign,Campaign,Campaign,traffic_source.name,STRING,traffic_source.name,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Campaign,Medium,Medium,traffic_source.medium,STRING,traffic_source.medium,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Dimension,Built-in,FALSE,Campaign,Source,Source,traffic_source.source,STRING,traffic_source.source,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE
Metric,Built-in,FALSE,Ecommerce,Purchase revenue,Purchase_Revenue,ecommerce.purchase_revenue,FLOAT,sum(ecommerce.purchase_revenue),NA,TRUE,NA,NA,FALSE,FALSE,TRUE,TRUE
Metric,Built-in,FALSE,Ecommerce,Purchase revenue (USD),Purchase_Revenue_USD,ecommerce.purchase_revenue_in_usd,FLOAT,sum(ecommerce.purchase_revenue_in_usd),NA,TRUE,NA,NA,FALSE,FALSE,TRUE,TRUE
Metric,Built-in,FALSE,Ecommerce,Refund value,Refund_Value,ecommerce.refund_value,FLOAT,sum(ecommerce.refund_value),NA,TRUE,NA,NA,FALSE,FALSE,TRUE,TRUE
Metric,Built-in,FALSE,Ecommerce,Refund value (USD),Refund_Value_USD,ecommerce.refund_value_in_usd,FLOAT,sum(ecommerce.refund_value_in_usd),NA,TRUE,NA,NA,FALSE,FALSE,TRUE,TRUE
Metric,Built-in,FALSE,Ecommerce,Shipping value,Shipping_Value,ecommerce.shipping_value,FLOAT,sum(ecommerce.shipping_value),NA,TRUE,NA,NA,FALSE,FALSE,TRUE,TRUE
Metric,Built-in,FALSE,Ecommerce,Shipping value (USD),Shipping_Value_USD,ecommerce.shipping_value_in_usd,FLOAT,sum(ecommerce.shipping_value_in_usd),NA,TRUE,NA,NA,FALSE,FALSE,TRUE,TRUE
Metric,Built-in,FALSE,Ecommerce,Tax value,Tax_Value,ecommerce.tax_value,FLOAT,sum(ecommerce.tax_value),NA,TRUE,NA,NA,FALSE,FALSE,TRUE,TRUE
